评论,时间
"基本没有认真评论过，不知浪费了多少积分，这个福利真的不错，妥妥的每次写100多字，这已经不知道N次在网.上购买东西了， 东西便宜， 质量好， 物美价廉, 买的放心又开心, 这真是买东西_上瘾的节奏啊， 根本无法停下来， 品类多， 而且齐全， 划算， 方便， 快捷， 实惠， 包装又好，没有任何破损，简直是消费者的福音， 会一直支持下去，京东可以逐不出户的懒人就能购买到的日常生活吃喝玩任何东西，真是太合适不过了。",2023-09-07 13:05:48
我是他们家的老顾客了，这次这个手镯买来是送给我妹妹的，希望她能喜欢。,2023-04-19 19:14:55
正真的和田玉，光滑细腻。大小合适，,2023-12-26 08:10:06
温润剔透，感觉不错，信任京东。,2023-09-14 13:12:17
蛮喜欢的。 第一次买小了。 联系客服。马上换大一号。,2023-04-16 12:41:34
太漂亮了，出乎意料之外，感谢,2023-07-13 10:16:28
晶莹剔透，做工精细，与你7000年,2023-10-29 16:28:48
玉手镯收到了，准备送给朋友，桌子看起来非常端庄，希望我朋友能够喜欢,2022-10-10 18:49:37
还行吧，遇见即是缘分，我会好好待她的,2023-10-31 10:02:09
玉镯已收到，打开包装很喜欢，非常有光泽，而且颜色也很通透，跟专买店的相同一样，这个价格买得便宜，本次购买十分满意！喜欢,2023-05-12 21:45:33
找珠宝朋友看啦 说可留 🥰,2023-05-19 16:50:16
色泽不错，是自己喜欢的,2024-03-02 12:43:48
玉摸起来很柔，败家娘们试带喜欢，就剪牌子了，剪完后不带了压箱了。,2024-07-04 03:35:33
东西活动力度大，物美价廉，奈何买小了一点，戴不进去,2023-05-16 08:28:41
发货速度快，质量挺好的，和卖家描述的一样，非常满意,2023-05-08 09:54:52
手镯是昨天收到的，今天我拿去检测了，是真的和田玉，这下我就放心了，这手镯还挺好的，性价比很高。,2022-07-04 16:09:39
买了两家店的回来对家，他们家这个不管是颜色还是油润度都是最好的，个人觉得性价比还挺高的。,2022-08-26 10:39:54
商家及时更换合适的，很好,2023-05-31 14:02:22
还行，就那样。带上去，看起来还可以。,2023-10-13 10:57:20
这款和田玉手镯非常喜欢,2023-09-09 07:56:50
这手镯真的太棒了！我特别喜欢它的细节处理，而且客服态度很好，也更换了合适的圈口。,2023-11-04 10:49:13
质量不错，也挺润的，就是号买大了一点,2024-05-08 08:31:34
玉手镯收到了，大小很合适，是我想要的，手镯有鉴定证书，相信京东自营。,2022-08-10 17:07:09
很喜欢，不错不错不错,2023-10-24 12:09:10
性价比非常高🍀，可以放心购买👍，做工非常精致🌈，值得购买😜！,2023-11-18 14:16:25
不错不错不错，质感很好，带着很漂亮,2023-07-21 11:12:02
玉镯已收到，颜色质感都很满意，油性润滑，光泽亮丽,2022-06-19 22:00:43
这款和田玉平安扣吊坠质感超赞！玉质细腻温润，水头足，平安扣打磨得圆润光滑，红玛瑙配珠很亮眼，绳结做工扎实，戴起来大气又显气质，送礼自留都超合适！,2025-12-30 13:24:48
"这款和田玉吊坠收到啦，非常满意！首先，京东物流一如既往地给力，第二天就送到了，包装得非常仔细，里三层外三层，确保宝贝完好无损。
 
打开包装，吊坠比图片上看起来还要漂亮，玉质温润细腻，摸起来手感很好，色泽也很正，是那种很舒服的白。特意打灯看了一下，内部结构自然，棉絮很少，说明料子不错。雕工也很精细，线条流畅，图案栩栩如生，看得出来是用心之作。
 
最重要的是，配有正规的鉴定证书，让人买得放心，相信京东自营的品质。试戴了一下午，感觉越来越喜欢，越戴越润，性价比真的很高。
 
这次购物体验非常棒，无论是商品本身还是物流服务都无可挑剔，已经推荐给朋友了，下次还会光顾！",2026-03-20 21:12:21
是和田玉白玉，晶萤透亮！质地又圆润剔透！一眼就相中了！价格也很美丽！真是爱了爱了！看中的姐妹放心冲！,2026-02-02 21:00:24
通透，包装很严实，玉是好玉，温润通透，给孩子买的，孩子很喜欢，当场就戴上了，再印象眸买过几个玉吊坠了，都很满意。,2025-07-21 13:33:55
很水润的和田玉，一直想给孩子买个平安扣戴，这个是需要眼缘的，孩子说很喜欢，玉很温润，质地很好，比珠宝店买便宜很多，还有质检证书,2025-06-24 20:50:19
高颜值，高品质，非常好，一分钱一分货，材质外观和质量一看就很上档次，非常喜欢。平安扣给儿子买的希望能保他平安。。。。。。。,2025-07-07 21:11:22
第一次在网上买玉挂坠，也是抱着试试看的态度，选择了这个品牌，总体看着挺好看，实物比较油润。,2025-06-15 14:27:43
收到之后很惊艳，质地也挺好，这个价位很值，而且是那种微微的油性，很养人，可玉不可求,2025-06-12 22:25:31
东西收到了，没有想象中的那么大，快递物流速度很快,2026-02-20 20:39:44
平安扣收到了，黑色绳，手感细腻,2026-04-09 19:12:17
这款和田玉平安扣吊坠质感超赞！玉质细腻温润，水头足，平安扣打磨得圆润光滑，红玛瑙配珠很亮眼，绳结做工扎实，戴起来大气又显气质，送礼自留都超合适！,2025-12-30 13:24:48
通透，包装很严实，玉是好玉，温润通透，给孩子买的，孩子很喜欢，当场就戴上了，再印象眸买过几个玉吊坠了，都很满意。,2025-07-21 13:33:55
很水润的和田玉，一直想给孩子买个平安扣戴，这个是需要眼缘的，孩子说很喜欢，玉很温润，质地很好，比珠宝店买便宜很多，还有质检证书,2025-06-24 20:50:19
高颜值，高品质，非常好，一分钱一分货，材质外观和质量一看就很上档次，非常喜欢。平安扣给儿子买的希望能保他平安。。。。。。。,2025-07-07 21:11:22
第一次在网上买玉挂坠，也是抱着试试看的态度，选择了这个品牌，总体看着挺好看，实物比较油润。,2025-06-15 14:27:43
收到之后很惊艳，质地也挺好，这个价位很值，而且是那种微微的油性，很养人，可玉不可求,2025-06-12 22:25:31
平安扣收到了，黑色绳，手感细腻,2026-04-09 19:12:17
颜色漂亮，成色好，非常满意,2026-01-22 12:56:39
质量很好，颜值很高；拼到就是赚到。,2025-11-30 00:04:46
质地温润，手感不错，戴上很漂亮，孩子很喜欢,2025-05-16 14:15:53
这个平安扣确实好又白又润的，真正的和田玉，再买一块给女儿,2025-06-02 23:46:14
非常不错，手感和颜色都很好,2025-09-11 20:01:11
品牌值得信耐，色泽好，儿子很喜欢，物流好快,2025-05-24 15:42:10
挺好。外观很漂亮，很大气。很喜欢。,2025-05-14 19:27:18
小小的，色泽分明，很喜欢。,2025-07-20 19:26:35
不错挺好的，达到预期效果了，手感挺好,2025-05-20 11:28:07
送人的，就说冲着和田玉去的，拿到手里很温润，手感很不错！用闪光灯看了看，看到明显的絮状。初步感觉是正品！送的东西也很不错，很喜欢！东西配送的速度很快，包装的很好，没有任何损伤，总体很满意，一次还算不错的购物体验！,2022-09-07 19:59:39
还行，比较润，这个价位还可以。如果要求高，价钱也要跟得上才行。我挺满意的。比较喜欢和田玉，有鉴定证书。,2025-02-26 19:32:19
送给她也不知道她喜欢不或者扔了可我不想让你知道，,2016-11-08 22:15:56
平安扣厚实饱满，设计优美，整体比例很均匀，线条流畅舒服，中通外圆，象征了天地辽阔，平静内有心。祈祷健康平安，吉祥圆满，寓意很好。喜欢。,2024-11-02 12:12:20
色泽很润，大小适中，物流配送也很快，给力，给女儿买的礼物，女儿非常喜欢，摸着手感也舒服，很百搭，配衣服也好搭配，好评好评，,2024-03-31 21:12:10
和田玉白玉平安扣，玉质细腻温润，阳光下通透性好，晶莹细润有光泽。自古就有佩戴平安扣的习俗，寓意扣住平安，万事顺遂、团团圆圆！,2024-11-11 23:02:54
很满意的一次购物，平安扣的颜色，尺寸，玉质我都很满意，有个和田玉证书，查询了是一对一对应的，是正品。京东自营买东西就是靠谱,2022-10-11 16:00:00
和田玉收到了，买给宝宝过生日的，在学校看看别的同学带叫我给她买的，值得信赖，成色很好，相信京东 宝宝戴上很好看，他也很喜欢很高兴的一次购物。。。。。。,2024-07-25 16:02:58
"和田玉平安扣编绳项链
和田玉温润细腻，
油润净透饱满且囿光泽
小小的和田玉平安扣可爱又讨喜
包装也可以，适合当礼物送人哦！",2024-11-11 23:09:28
真心不错，原本我戴的金平安扣，但是总担心丢了会心疼，跳来跳去这款平安扣用料十足，挺漂亮的，大小嘛，原本想买28mm的但是太贵了不划算，这个刚刚好,2023-12-24 21:06:55
很棒的购物体验！平安扣和图片一致，没有色差，大小合适，老顾客了店家还赠送了小礼品，真是出乎意料。整个购物过程非常顺畅，非常感谢！推荐哦！,2024-11-11 21:25:46
玉的大小正合适，玉身比较厚，手感圆润光滑，绳子可以伸缩比较方便，价格也合适，带着很好看，非常满意。,2024-04-05 08:37:26
确实挺好的，看着成色也挺好。客服的服务态度也很好，这个商品确实很满意。带着的话，本来其实想着做个装饰的，但是摸着的话其实很满意，很圆滑。挺好的，真的挺不错的，觉得很好。,2024-08-19 11:04:10
这款平安扣真是出乎我的意料，原本只是抱着试试看的态度，没想到它是出乎意料的好看，实物很通透，真的物超所值！超级推荐！！！,2024-11-11 21:22:29
老公说挺润的，虽然不知道真假，但看着还不错。绳子戴着有点过敏，痒痒的，应该是这个绳子纹路的原因，中间搭配一个红珠子很漂亮。,2023-09-23 15:05:56
给女儿买的挂件，尺寸刚好，比较饱满，色泽也不错，价格亲民，第一次在网上买和田玉，相信京东自营不会有假货,2024-06-28 09:57:43
玉质细腻油润，是送女朋友的最佳礼物！购买来送老婆的生日礼物！老婆挺喜欢的！里面还有证书，还送了一条红色的绳子！商家这边服务态度也挺好的！积极的介绍产品！还送了一串珠子！玉老婆带，柱子就是自己的了！很好的一件礼物！,2020-08-03 06:53:33
物流很快，比预计的提前一天到了。包装非常完美，很用心。东西和描述的一样，大小也刚刚好。看着非常的漂亮，另外还有证书，非常放心，非常喜欢。,2024-10-12 22:29:47
这个吊坠非常好看，质地光滑，作为送给他人的礼物非常合适。整体质量不错，价格合理。总的来说，值得购买和推荐。京东快递速度很快，物流服务也很棒。,2025-04-05 07:33:34
这是一款性价比非常高的平安扣，买给孙女玩的，虽然便宜但质量还是不错的，有光泽，手感细腻，戴起来凉丝丝的。包装非常精致，京东还是一如既往地送货神速，售后更是不用担心,2025-07-22 09:11:23
很不错的一款，非常满意快递速度很快比预期到的快了一天，带起来非常的舒服，还送了个红色的吊绳，可以替换用，就是感觉男的带起来有点小了，不是很大气，女士带的话效果应该会比男的带起来好多了，总得来说挺好的一款，推荐,2020-01-22 13:40:52
就是绳子不好，如果可以改一下就很不错了,2016-09-28 21:29:19
颜色很好看，第一次买平安扣，选择了和田玉的平安扣，给小朋友随便戴戴，小朋友很喜欢。京东送货快，物流一直没有任何问题，包装精美，非常满意。,2023-11-13 18:23:16
"挺好的买给客户的，已经带出去了，很满意。
看起来也很水润，包装不错。
主要是快递很快，及时跟上了飞机，很满意的一次购物，后面还来",2023-10-23 23:51:06
宝贝收到后很满意，外形颜色也很喜欢，挑选好多家，果然没看错，希望把好物分享给大家☺️精挑细选很久✨，最后决定买这一款🎁，到货后果然没有让我失望，实物很漂亮🔮，做工很精细🌈，特别满意💖,2022-12-16 13:53:01
梦中情扣，形状圆滚滚胖乎乎的，好招人喜欢，料子油润细腻，糯叽叽的感觉，快递包装很好，送人正合适哦！非常推荐大家购买！！！！,2024-11-28 21:31:45
宝贝收到，和商家描述一致，包装非常好看出商家是用心的，拿到手里很细腻非常舒服，有坚定证书，产品质量没的说需要的值得购买。,2023-12-27 21:34:10
新疆和田玉平安扣收到了。拿在手里摸起来很圆润饱满！玉石油性很好手指放在一起捻了捻油油的感觉。久久消散不下去。值得放心！购买,2023-12-14 13:08:02
京东购物🛍就是快，昨晚下单今天上午就收到了，感谢快递员小年夜及时送货。平安扣厚实，摸上去非常柔润，做工精致漂亮，收到后马上挂脖颈上，迎新年愿平安吉祥🙏。,2025-01-27 10:38:03
简约大气，佩戴上身非常显气质，是一款永不过时的白玉平安扣吊坠！男女老少都可以佩戴，当礼物送长辈或送亲朋好友绝不会错！这个质感搭配任何衣服都非常加分,2024-11-11 23:05:15
到手的是块青玉，圆润光滑没有明显瑕疵。搭配红色的小珠黑色的系绳看起来很舒服。,2021-04-08 10:51:48
这款和田玉的平安扣真的很不错，光滑圆润，质地清透无杂质，今年身体不好买来保平安，还赠送了一根副绳备用，服务态度很好物流给力，快递小哥服务态度很好，购物同时收获一份好心情，京东平台值得信赖，售后服务也很棒，支持京东！,2020-11-09 16:00:40
产品包装完好，附带礼品袋和证书，外观丰满，手感舒适。唯一不足是挂绳质量略显粗糙，需要自己再去配个绳就完美了，孩子们很喜欢。,2025-01-14 19:22:21
很漂亮，准备送人的礼物，听老人说，玉关键在眼缘，喜欢就是好玉，真心喜欢，准备再买一个自戴，美美的。相信京东。,2017-12-09 10:57:27
"为了给老公蛇年祈福平安，
特意买了这款平安扣，
它是和田玉材质的，
温润细腻，色泽柔和。
(&sigma;ﾟ&forall;ﾟ)&sigma;
希望本命年可以吉祥如意，幸福满满",2025-02-21 21:27:02
印象眸京东自营旗舰店的和田玉平安扣吊坠收到货了！京东自营快递一如既往的快，当天下单第二天就收到货了！平安扣是给嫂子买的赶上她的生日和蛇年本命年，给她买个平安扣讨个好彩头！平安扣整体不错也附带了检测证书，嫂子也挺喜欢的！,2025-01-01 09:38:51
色泽很漂亮，圆润光滑细腻，手感不错，包装很严有五层，看出京东人员用心了，送货是一如既往地快，上午下单下午就到了，快递哥服务态度很好！支持京东！,2016-08-01 18:52:55
玉质细腻，手感平滑，样式饱满圆润，颜值高，戴着合适，这个季节穿毛衣搭配也很好看,2024-11-19 08:53:43
珠圆玉润特别不错，光泽度也好，还有证书，很不错的产品，可以。,2024-09-05 21:55:45
这款平安扣种草了很久，评价口碑也不错，老婆过生日正好用来当作礼物，老婆挺喜欢的。不是很懂得玉，这一款手感不错，颜色也很喜欢，用灯照过玉质通透，有一点温润的感觉，应该是真的白玉，至于产地品级什么的不太懂，只要玉石是真的就可以了，喜欢就好。,2019-12-04 11:36:07
光照里头有许多气泡状的存在，杂志好多,2019-02-22 21:16:41
对比好几家，只有这家便宜，看着舒服，给儿子看了了选哪家，儿子一眼相中这家，唯一不满意的是看了别人评论玉的重量十几克，我的这个只有7克多，换了多次还是这样，希望商家改进一下,2023-09-13 09:49:30
"平安扣很漂亮  虽不懂玉  但还是很喜欢
细腻润滑 手感不错 没有很大的瑕疵 适合送礼物 里面还有证书
还送了一串红绳",2020-12-28 13:54:48
大小合适，样子我也很喜欢，特别喜欢绳的材质的配饰，不会不舒服，玉的材质凉凉的，贴着身体也很舒服，玉有安神的作用，因为睡眠不太好就买来戴，没想到还挺漂亮，赠品跟商品没有一起邮寄，联系了卖家很快就补寄了，推荐购买哦,2020-06-17 18:08:41
七夕前购买，印象眸和田玉平安扣吊坠男女款玉坠直径约25mm送爱人送女友。佩戴一天后绳子出了点问题。与客服联系后，客服即刻给予了换新服务。店家服务诚信好。,2023-08-26 19:36:35
平安扣质量上乘，质地细腻，光泽度好，佩戴舒适。卖家服务态度热情周到，解答问题耐心细致。发货速度快捷，包装精美，值得信赖。,2024-08-22 15:56:44
这一款的白玉（和田玉）挺喜欢！虽然不是很大，但是品质挺温润，风格很安宁！感觉上是我喜欢的那种玉律！也许，我是跟这个玉佩有点缘份！呵呵！,2023-11-02 19:50:47
刚收到就带上了，包装非常非常严实，拆了好几层才拆到平安扣，质量不错，绳子可长可短，完美,2022-07-19 16:42:05
京东物流很快，包装很好，很严实安全，玉厚实无破损无瑕疵，大品牌售后服务态度好，有问题及时解决，非常满意的一次购物，祝老板生意兴隆,2023-06-19 23:42:13
"买了好几个月了。
感觉很好看，圆圆润润的。
绳子自己换了一个，赠送的绳子也很好看，不过是黑色的绳子，红色的绳子上还有几个小石头珠子。",2022-11-24 11:12:57
质感不错，佩戴舒适，温润，已佩戴两天，很不错的，搭配也方便，中规中矩,2025-05-20 19:06:20
感觉颜色不是那么白，玉应该是真的吧，总体来说不错吧。希望带着能寓意平平安安，就是绳子有点差，希望改进下绳子。其他都挺好的。物流超棒了。,2019-02-27 23:57:55
很圆润的一款平安扣，没有瑕疵，物流也很快，第二天上午几天到了,2022-08-24 15:17:56
肉肉的，很厚实，比我预期的要好很多，外观颜值都很出色，五星推荐哦,2022-07-12 17:29:47
非常漂亮，很喜欢。实物要比拍出来的好看。有厚度，有份量。,2024-07-31 14:42:12
"给自己买的，戴着大小合适，洁白光泽非常漂亮的玉！平平安安！
客服若西态度非常好！五星好评",2020-04-21 09:57:08
快递速度很快，包装也完美，商家还送了证书，应该是真的，平安扣圆润变通，寓意出入平安，家庭和睦，事业顺利！大家可以试试！！！,2024-11-28 21:37:25
看起来确实不错，不懂玉只能相信京东自营！送的檀香珠也挺不错的！！个人感觉这个尺寸小孩带比较合适（约一元硬币大小）,2022-06-17 19:22:10
平安扣很透，很简约，尺寸感觉偏小，但是女孩子戴应该刚刚好，有专业的鉴定证书，包装也很精致，看起来很有质感，送人很合适，朋友很喜欢,2021-12-13 22:07:11
买了2个平安扣，物流特别快，一上午几天到了，还有颜色也很喜欢，佩戴正合适，很漂亮。客服态度也非常好，客服嫣然，客服若西，非常好，讲解的也非常到位。很满意的一次购物。,2018-06-11 16:08:00
收到了，质量挺好的，颜色很正，很气质的款，这个价格买到还是不错的,2024-01-14 18:51:09
玉质圆润，平滑，没有很大的瑕疵。平安扣无字，大小适合，男女佩戴均可，样子比较小巧，喜欢。玉质很通透，一看就是正品，可以拿到灯光下试试，通透圆滑，没有瑕疵的颗粒，很好的一次购物，送人也倍儿有面子，好店，会回购的！,2020-01-14 00:30:22
发货速度非常快，包装非常仔细、严实，玉质细腻光滑温润，物美价廉！很满意的一次购物，收到货了，比想象中的要好，良心商家!,2025-08-28 09:11:23
小巧玲珑，第一次在京东自营购买玉石，有鉴定证书，感觉不错1物美价廉,2023-12-04 11:12:01
和图片一样，很好看，有鉴定书，项链戴够了，换换风格！,2022-08-28 21:57:56
买来保平安的，平平安安才是福，整体是很满意的，物流很快，次日达，玉石有点浅浅的颜色，颜色不是特别重，看着比较饱满圆润。赞👍,2022-07-13 17:43:08
很满意的一次购物了，京东自营的东西就是买着放心用着安心。平安扣很好，光滑且饱满。客服态度还不错知无不言，言无不尽，有问必答。,2021-03-06 17:52:16
发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！,2023-09-27 02:15:11
包装非常仔细，整块玉呈现青白色，打灯看絮较少品质不错👍,2024-08-31 18:03:31
商品品质：质量不错，很厚实，做工精细，很满意的一次购物。做工物超所值，商品设计完美，外观也很高大上，让人爱不释手。客服更是热情的没话说，这次购物很满意,2023-08-06 19:34:31
物流快，商品质量很好，比实体店便宜很多，摸着感觉很圆润饱满。,2023-09-11 16:47:10
大小正合适，从包装看出来很用心。跟我在商场看的500左右的品相没差别。希望给我带来好运吧。特别说一下，真的，绳子要比别家的质量好。比较粗，很耐用的样子,2022-08-07 17:47:20
给媳妇买的，好便宜，我的平安扣是八年前在天津珠宝街买的还五六百呢，比这个还小两个号，这个才三百多，还送紫檀手串，不知道真假，戴着玩吧，结婚就答应给媳妇买，好几年了也没买老怕买到假的，线下没有放心的地方，还是买京东自营的吧,2020-10-24 23:25:07
玉质细腻，色泽好，做工精致，款式时尚大气，戴上很显气质，很满意。,2022-11-21 09:33:39
送给老人的生日礼物，老人非常喜欢，当天下单当天就到了，看着很好不错哟，男女老少都能戴呢，平平安安的，质量很好，也有证书,2017-12-11 15:20:12
很喜欢，厚度刚刚好，特别漂亮，戴上很舒服，满意,2022-08-26 11:09:02
非常喜欢这个平安扣，收到立马就打开了，非常圆润，没有任何瑕疵，大小正好,2022-08-22 16:17:01
京东物流很快，快递小哥不错，商品包装完整，质量也不错，价格方面比超市便宜。外观挺饱满的，质地丰润，颜色也不错，总体还行。,2021-04-14 10:20:05
第一次在京东上购买珠宝之类的产品，漂亮🌝🌝🌝🌝价格特别美丽🌝🌝🌝🌝🌝🌝不知道是不是正品，但是总有点相信京东自营的应该不会有假货,2023-09-18 08:43:43
京东物流很快，包装很好，很严实安全，玉厚实无破损无瑕疵，大品牌售后服务态度好，有问题及时解决，非常满意的一次购物,2023-12-14 23:11:30
玉非常好包装也好，有鉴定表，是在直播间买的，主播小姐姐很温柔，给我详细的介绍，拿到东西就迫不及待的拆开了，很满意,2022-02-05 15:52:45
很有光泽，很亮，戴着很舒服，看着也很精致。,2024-02-04 09:18:25
谢谢老公的礼物，收到了，颜色好，大小合适，红珠搭配很好看，价格优惠，物流很快。,2024-05-09 16:58:17
买给小孩子的玉扣，还没有戴，看着还行，不懂玉，反正看着觉得还不错，证书规格齐全，真不真就不知道了，自己喜欢就好了，看着还不错,2022-11-22 07:27:38
平安扣很好看，圆润饱满，贝贝服务也好。 祝愿孩子平安快乐，健康幸福,2022-08-24 16:01:36
第一次在京东自营里买玉石，包装完好，有鉴定证书。平安扣跟描述的一样。虽然不懂玉，非常的喜欢。,2025-01-06 19:25:20
品质品相很不错的和田玉，颜色，水种，透光度，手感都很不错，大小也很合适。,2022-11-14 14:23:01
很好，拿在手上凉凉的，在平安扣中心打眼处有机器划痕，不过不明显不影响外观，挂绳有待提高，没有宣传图片那么白，单这块玉非常好，非常开心的一次购物（拍照时光线有点暗阳光下效果能好点）,2016-07-19 18:04:04
不是太懂行，买玉就买个眼缘，看着舒服就买了，平平安安，寓意挺好,2023-11-27 10:48:31
非常满意的一次购物，平安扣非常漂亮，戴起来合适的很！,2024-06-02 17:45:23
平安扣的寓意很好，玉的润色还不错，光滑润泽，触手温凉，喜欢！,2020-06-14 11:50:02
平安扣肉肉饱满，手感光滑细，无质杂，颜色纯正。,2024-01-26 15:36:45
君子无故玉不离身，借一点干净的阳光让我怦然心动。谢谢老板，服务五颗星💌心仪已久，果断下手，是正品，快递也很给力，果然名副其实👍🆒是正品，跟商店里买的是一样的，在这网购方便快捷，品质放心，还会光顾！.^◡^.,2023-09-03 15:40:21
非常好，快递特别快，三天就到了，快递给力。刚开始的时候有些担心，怕有瑕疵，结果打开以后发现，特别好看，晶莹透亮，手感也特别好。价格也很合理，有鉴定书，找机会验证一下。很开心的一次购物，以后还会再来选的。,2020-07-10 11:42:34
首先表扬包装盒，很大很完美完整全封闭。其次，表扬物品，25直径，不大不小刚刚好。至于玉嘛，不认识，只有凭商家良心了。,2024-04-07 17:30:07
感觉质量杠杠的。证件齐全，发货很快。玉的成色不错，很喜欢,2017-12-04 15:03:25
拿到手之后装模作样的看了半天，啥也没看出来，摸着手感还行，自营的产品应该是真的吧,2023-11-25 20:25:05
千挑万选选的这一款吊坠，给自己买的，喜欢挂件，有鉴定书，增一挂绳。,2022-08-29 07:41:46
包装还是非常不错的，不管是包装盒大小还是内部包装的品质，关于玉本身首先确认是和田玉，找的专门做这行的朋友帮忙看的，品相说实话，比较一般，可能比不了那种几千块的，但是感觉还是值得的，是玉就可以了。,2022-09-07 02:03:44
平安扣，寓意平平安安，人平安才是头等大事。平安是福，平安也是一切的根本。适合老人小孩以及女人，都挺好的，之前买过一个翡翠的平安扣，这次再买个和田玉的平安扣。京东自营的，质量没得说。信赖京东自营，买的放心，油性很足，棉不大，比商场里买的划算太多了。尤其是给小孩子戴，再合适不过了,2020-06-04 18:38:52
加上自己的链子，感觉很好看，有证书的相信京东,2023-12-09 18:13:03
玉还是蛮漂亮的，圆润光泽，有鉴定书应该是真和田玉？还是相信京东自营的。对挂绳差评，珠子那里弄斜了，没弄好，还得自己去配个绳子。,2016-08-24 19:15:21
质地细腻，颜色也比较通透，水润还有光泽，非常满意,2024-05-26 17:21:50
真的很喜欢，玉石非常漂亮，而且商家小姐姐人也非常好，给到顾客的权益也很多，有终身更换挂绳，玉石产品维修等等，这个品牌真的负责,2023-10-06 19:00:36
宝贝收到！包装很好！物流很快！服务态度很好！质地好！我很喜欢！值得购买！五星好评！,2023-10-12 12:00:56
和田玉很漂亮，戴上去冰冰凉凉的，很油润，很美观。,2024-01-16 18:14:25
有证书，复检过了，货真价实的和田玉，卖家态度很好，虽然有点小波折，不过卖家的态度没话说，可以放心的诚信商家！,2017-12-20 17:28:07
挺不错的，玉质很润，希望玉养人，爱的人平安无事，美好生活。,2025-01-02 14:42:11
货收到了，快递小哥很给力直接送到家门口，服务态度杠杠滴，平安扣的质量很不错，买来保平安的，希望带上以后都平平安安的,2022-07-15 11:00:21
玉石晶莹剔透，无瑕疵，客服甜甜耐心解释，很好！,2022-11-21 12:56:06
东西收到了 ，给儿子的生日礼物，儿子非常喜欢，客服贝贝和乐乐的服务特别好，下次还会购买，五星级服务👍👍👍,2022-09-21 14:02:12
这是送给我弟弟的本命年礼物，平安扣，平平安安健健康康，寓意非常好；他收到礼物后很开心，手感润滑，成色不错，大气上档次。,2022-08-08 09:48:45
七夕节马上要到了，准备买一个平安扣送给男朋友，挑了两家同时 比较最后还是选了这家的。因为比较重同样的大小，还有看他是南阳厂的，鉴定书是新疆的。因为南阳也是出玉的，但这本身的产品呢是来自于新疆，应该品质还不错，最主要是分量重，另外还有赠品综合考虑就收下了。,2020-08-10 10:01:37
看着还不错，因为不太会分辨好坏，给妈妈的母亲节礼物，她很喜欢。,2022-06-21 10:37:56
玉的成色很好，有鉴定证书，是真的和田玉。孩子戴上大小也很合适，是块好玉。客服服务到位，很满意的一次购物,2022-08-08 09:49:54
"礼物收到了，很棒 ！每一个都是精品，而且每一个都是独立包装！！
客服小姐姐服务态度也很好！！！",2023-12-06 17:16:19
这个产品已经是第五次购买了，大家都喜欢，所以家里很多人都在买。总的来说，物有所值，玉也很漂亮。,2024-11-23 20:57:49
一次性买了两个，很不错，质量和包装都很好，还有赠品，能放心网购真的是太重要了，值得推荐,2020-08-25 17:52:19
宝贝不错，看着糯糯的，就是不是特别大，不过也不错啦，买来送给老公奶奶的，自己改编了一下！,2024-02-01 10:48:56
很不错，手感细腻光滑，用灯光打了有一点儿棉，恰恰说明了是真的和田玉，非常满意,2022-12-16 15:21:45
包装很精致，玉石也很漂亮，喜欢！,2024-08-19 19:23:47
表面看上去不错，灯打发现像碎了似的，里面很多纹,2016-10-09 11:51:52
玉是真的。薄厚合适。外形美观。我和你喜欢。是我想要的。,2023-06-11 21:40:12
整体来说还是很不错的，店家服务态度很好，而且质量也很好，没有异味,2023-12-04 12:26:26
平安扣质量很好，而且还有鉴定书，京东自营值得信赖，很精致，买个平安扣图个吉利，这个平安扣真是不错，大小正合适，五星好评,2022-07-29 16:42:06
玉再同等价位确实不错，女孩戴大小刚合适，很不错的一块玉，客服也很棒。买了一个拿到手看看确实很满意，立马复购了。带的还没到，到了在评价！,2020-05-08 07:58:53
玉美观大方，做工精细，质量很好,2024-06-10 14:46:35
东西确实不错，比想象的要好，孩子带，戴了一段时间了，发现越来越润了，赞一个！,2025-03-12 09:53:55
先说盒子，外观精美。除了玉饰以外，还送一个手串。很贴心。再说玉器，小巧玲珑。男生佩带小了些，但是不影响。因为锁住平安。上面有粒似玛瑙的珍珠也寓意鸿运当头，吉祥如意！希望自己及家人平安吉祥，万事顺意！,2020-05-17 20:13:14
款式简单好看，玉质颜色都非常满意，戴上大小合适，自营店铺，品质还是有保证的,2022-07-19 17:49:40
好产品、好品质、好服务，性价比超高，在这给商家点个赞，,2022-10-11 14:59:43
给孩子买的，因为是首次在网上购买玉石首饰，看了又看，挑了又挑，众里寻她千百度，最终选择了印象眸。收到的和田玉平安扣颜色白中略显淡青色，自然背光颜色白中略显淡黄，再搭配红色玛瑙珠顶珠，整个显得光滑细腻、温润可人。赠送的手串也挺好看的，觉得商家用心诚意，是一次满意的购物体验。,2021-05-04 12:12:14
自从有朋友给介绍了这个品牌的商品之后，拿着朋友的试用了一下之后就开始自己也购买这个了，真的觉得很不错的，质量还是很不错的，购买收到货之后就开始使用，也没有出现什么不好的反应，整体来说还是很不错的，商品值得推荐。,2023-08-15 13:57:54
不错，色泽和成色都不错，值得推荐，包装也挺精美。喜欢。,2017-12-12 17:51:17
物品收到，包装精美，做工质感细腻，性价比非常高，值得购买。,2023-11-22 22:53:36
