大款超级薄 这也太薄了,2025年4月22日
这质量真是太意外了，实物美美哒，触感很好，很推荐哦~,2024年5月25日
非常好的，很高级，其实我觉得这个价格这个品质已经很好了，保个平安嘛,2025年3月31日
该用户未填写评价内容,2024年11月3日
晶莹透亮 带上很好看 百搭,2024年7月12日
买来送给朋友的，玉挺好看的，养人。,2024年11月8日
成色很好，挺喜欢的，送给婆婆当母亲节礼物的,2025年5月11日
好看，很喜欢,2025年6月13日
玉佩还可以 ，就是有点薄,2025年8月23日
还可以,2024年8月25日
该用户觉得商品非常好，给出5星好评,2024年9月16日
料子很好呀 水灵灵的很喜欢 客服宝宝白起特别好 耐心的解答疑虑和处理 这次购物很开心,2025年8月18日
很喜欢感觉不错，就是配绳感觉有点不行配不上玉。,2024年9月23日
戴上很显气质，朋友都夸好看。,2026年3月6日
好！戴上气质温婉~,2024年8月14日
很好 就是礼品袋没给我发,2024年11月2日
有质检报告 质感挺好的 还有盒子 打算送女朋友的礼物 建议购买,2025年4月29日
14号买的 502块钱 今天降价不承认 客服一直答非所问 一直说没有能力解决 是差价几十块钱不是几块钱 而且玉的品质也就一般般 价格浮动那么大 我也是无语了。。。。。家人们不要买这一家,2025年5月20日
很好，戴上简约美观大方，支持周大生。,2024年8月23日
挺好看的，稍微有点色差，不过不影响，绳子再长点就更好了，整体很喜欢！,2024年5月22日
特别好看，有瑕疵也帮忙换货,2024年9月18日
质感很亮，好看，满意,2025年2月11日
很好看，摸起来也很舒服，也没有发现瑕疵，物流也很快,2024年9月9日
小孩戴着挺好看,2025年10月1日
在预计之前发货了，而且到的很快，虽然体积小但是质感看着还不错，礼盒和礼袋也都比较漂亮，买来送人的,2025年6月2日
很漂亮，价格实惠，款式圆润很适合日常佩戴。很喜欢很推荐哦！,2024年11月7日
找老师鉴定过了，是真的和田玉很值这个价格。非常好看,2025年9月27日
收到！非常好！谢谢！.,2025年8月13日
很喜欢，客服也及时沟通解决问题很迅速 白起客服及时处理解决差价问题,2025年9月23日
东西收到了，感觉不错，看起来温润，有点淡绿色，质地细腻，朋友很喜欢。好评一下。,2024年10月27日
孩子很喜欢，回来就打开戴着，可以收缩，任意调节，还有小盒子，小袋子，不错,2024年11月8日
该用户觉得商品还不错,2025年6月2日
太好看了，太精美了。男朋友爱不释手，一直带着。,2024年10月9日
非常不错 很漂亮的玉😍,2025年4月7日
价格给大家做个参考。,2025年10月15日
产品性价比很高，外观简单大气上档次，低调奢华有内涵，真不戳,2024年4月23日
整体评价：很好看戴着也很舒服 ,2024年4月21日
收到货之后看着有点小，但是女生带刚刚好，带上后就觉得很小，大小刚合适，绳子也不觉得勒脖子,2025年7月13日
宝贝很好看，色泽比较均匀，开始的时候发来的比较绿，不满意，想要白1点的客服小姐姐还专门备注了，挑了一个比较白的，很满意。,2025年5月31日
大小正合适，戴着很舒服。,2026年3月4日
好,2025年2月5日
挺好看的。质量也很好，佩戴很舒适。值得入手。性价比高。,2024年9月18日
玉的颜色和花纹都很漂亮，实物比图片还要精致。店主的服务态度很好，解答了我很多问题。物流也非常给力，好评满分！,2024年11月3日
很好看，很精致，很漂亮，太喜欢了，下次还会再买一个，真的很好看。,2025年5月8日
我对这个商品的质量非常满意，卖家的服务态度也很好，发货速度快，白起客服处理售后问题也很快速，很愉快的购物体验。,2025年9月17日
该用户未填写评价内容,2025年3月16日
大小正合适，戴着很舒服。,2026年3月28日
看着还可以 送妈**,2025年5月13日
玉质很细腻，摸起来特别顺滑。,2026年2月2日
外观设计：用手电筒照了看没有裂痕也没有杂质特别好送给弟弟的他很喜欢 ,2024年10月26日
很满意产品 客服小琥珀也很耐心 值得入手 ,2024年4月27日
很好！大牌子，相信他们，而且客服很耐心，物品也很好,2025年3月12日
很漂亮的玉 摸着也有质感 挺好的,2025年7月5日
是绿色并不是白色，挂绳已坏。。。,2025年4月18日
整体评价：很好 很不错 佩戴体验：特别好看 外观设计：款式新颖 ,2024年6月8日
物美价廉值得拥有，款式新颖时尚潮流大气上档次，很喜欢！,2024年6月12日
佩戴体验：妈妈很喜欢 推荐嘻嘻 ,2024年5月12日
不识玉，但感觉不错，符合预期。附了鉴定证书。,2025年9月19日
很好，看起来大气，很喜欢。,2025年5月7日
挺喜欢的,2025年9月27日
整体评价：收到的商品和图片颜色色差太大，怀疑是先有图片，再有商品。肉眼可见，这款400多的和200多的颜色一致。但客服说没发错，我个人建议不联系客服看实物商品，勿拍 ,2025年3月12日
买送妈**，妈妈很喜欢，但是玉里面有很多黑点，介意勿拍。买之前看过很多买家秀没发现有人提到这个问题😂,2025年4月20日
很漂亮，成色不错，母亲节送老妈非常合适！,2025年5月11日
照片可能看不出来，实物真的是越带越润呢。我才待了一周多，收到货的时候就特别满意，看着降价了，又买了一个，下次还来。,2025年9月21日
好看,2024年8月7日
给妈妈买的，戴着非常漂亮，妈妈很喜欢，推荐购买。,2024年9月3日
佩戴体验：真的很不错     ,2024年12月28日
挺好看的，有问题客服热情解决,2025年7月16日
宝贝收到，一如既往的好，包装很到位，质量还不错，很喜欢，大品牌值得信赖非常满意的购物体验，产品外观时尚，质量上乘，性价比高，物流快速，商家服务周到。,2025年1月26日
玉石细度不太够。出差了过了七天无理由就那样吧,2024年9月20日
不错 喜欢,2025年6月28日
是正品，有鉴定书，玉的手感很好，做工精细，客服服务态度很好,2025年3月21日
平安扣是和田青玉，很棒！做工很好！性价比很高！没有瑕疵！送给朋友的，借平安扣的美好寓意，希望他平安喜乐！,2024年4月17日
手感好，摸着很舒服。,2026年2月13日
很喜欢很好看，小版的女生带得刚刚好,2024年5月15日
玉很光滑 是不错的一次购物 会推介朋友去买,2025年5月7日
玉佩青白色，圆润光滑，很好看，给宝宝买的，非常不错。,2024年9月6日
整体评价：我不太了解玉，但是这玉摸上去很润，而且也没有瑕疵。我拍出来偏青，实际是白的。 佩戴体验：挺好看的，不显廉价，同事们都问我要链接 外观设计：简约大气，我很喜欢。 ,2024年9月2日
送朋友的 很好看 关键是寓意也好,2024年4月19日
好看，很喜欢。大小也合适,2024年11月9日
产品质量：可以 佩戴体验：挺好的 ,2025年6月5日
买的第二个啦，第一个不小心摔坏了，好看的,2024年10月24日
该用户未填写评价内容,2025年4月15日
非常漂亮，适合佩戴,2025年5月21日
18岁成人礼女儿带上好看！,2025年6月30日
好看,2024年11月6日
整体评价：摸起来很温润，很好看 ,2024年4月23日
挺漂亮的，送人希望她喜欢,2024年11月13日
非常喜欢，珠圆玉润的，很好看，有重量感，红色的珠子搭配的也很不错，黑绳也有质感,2024年11月8日
平安扣很好看，买个女儿儿佩戴的，她很喜欢 ,2024年10月27日
送家人的生日礼物，挺喜欢的,2024年5月2日
实物没那么白透 ,2024年5月15日
该用户觉得商品非常好，给出5星好评,2025年5月7日
做工很细致，戴上显档次。,2026年1月11日
玉石看起来很温润，有鉴定书，还不错,2024年11月16日
 - **外观设计**：设计简约大气精致华丽，可以满足审美需求 - **寓意象征**，代表着平安、幸福和好运。佩戴平安吊坠可以给人带来心理上的安慰和祝福,2024年11月10日
整体评价：一般 佩戴体验：一般 产品性价比：好 ,2024年6月13日
挺小的,2025年5月15日
母亲节要到了 平时一直都给妈妈买的护肤品 今年想换点不一样的 正好最近在读红楼梦 因为书中的情节 就顺便又去了解了一下中国传统玉文化 发现玉尤其是一些软玉在中国传统文化中是有很高的地位和很大的价值的 所以就买了块和田玉的平安扣送给妈妈 希望可以给妈妈挡灾 保妈妈平安 我买的大号的 差不多有一元硬币那么大 颜色是有点绿的 但很漂亮 我也不懂这方面的专业知识 但是觉得物有所值,2024年5月5日
"玉质很好,物超所值",2024年11月17日
看起来还不错,2024年11月18日
买了两个  物流很快  东西很好,2025年6月18日
收到啦，很不错，非常喜欢，值得购买，(*^__^*) 嘻嘻……,2024年11月9日
尺寸偏小，买的大版，看上去也只适合女生戴的程度。而且新的礼盒土土的，没之前好看。肉眼看没有杂质是唯一优点了。 ,2024年5月3日
DIY了一下 好看的嘞,2025年9月10日
整体评价：很漂亮 佩戴体验：有质感 外观设计：简约大方 ,2024年8月29日
好看！很喜欢有质感的玉石，平安扣很好看。,2024年12月8日
商品质量很好，与描述相符。卖家服务及时回复，解答疑问耐心细致。物流迅速，整体非常满意。,2025年5月5日
还未佩戴，但是物有所值,2024年6月5日
这个很漂亮润价格也公道噢，喜欢和田玉不需要金项链哦,2025年7月2日
非常好看！！还有检验证书。售后卡！女朋友一定会很喜欢的。哈哈哈哈哈,2024年4月24日
好看的 绳子也可以调节 很喜欢,2024年8月22日
赞👍,2024年7月11日
产品质量：好看  ,2025年4月23日
宝贝与描述基本一致，发货很快，值得一买这次购物太满意了，商品性价比超高，质量上乘。物流高效，商家服务贴心，售后无忧。,2025年12月16日
很好很漂亮，客服态度很好会积极解决问题,2025年5月4日
送给女儿的，她很喜欢，真不错,2024年10月3日
非常非常非常非常非常非常非常非常非常好,2024年10月29日
很好看 也很好的寓意 物流很快 男朋友很喜欢❤️,2025年8月3日
很来事，超级喜欢，爱，看了，对着阳光，有棉棉的感觉，值得的购物。以后还来,2024年10月29日
买了10天降价100,2024年6月3日
"东西质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多",2025年5月6日
对比了好几家，最终还是选择了周大生的，我人瘦，特意选择了小号的，佩戴起来挺好看的，颜值高，同事都说好看，打算在入手一个稍微厚一点的送给老妈，,2025年1月26日
拍的白色发的青色,2024年9月11日
该用户未填写评价内容,2024年10月8日
整体评价：性价比挺高 佩戴体验：不错 产品性价比：性价比高 产品质量：有证书质量不错 外观设计：好看 ,2024年11月11日
挺好的 佩戴也很搭,2025年9月16日
该用户未填写评价内容,2024年12月2日
我非常满意我在淘宝上的购物体验。订单处理非常迅速包装精美且物流速度非常快让我在短时间内就能收到心仪，的商品。,2024年6月12日
佩戴体验：很舒服！ 产品性价比：跟亲民！ 产品质量：很光滑！ 外观设计：很好看！ ,2024年9月20日
颜色有差异就算了，毕竟产品介绍里面有事先声明，厚度有差异就无法理解了，写的厚度是7MM，实际厚度5MM,2025年8月3日
平安扣收到了。送给妈**，还是挺喜欢的。质感非常好，戴上很好看。,2024年7月8日
商品已收到，质量非常好，和卖家描述的一样，非常不错，包装仔细，物流也很快,2025年10月14日
玉石品质很好，换了一个浅色的绳子，可真好看,2025年9月1日
很好看很美爱死了呜呜呜呜好好看,2025年7月7日
该用户觉得商品非常好，给出5星好评,2024年11月2日
买到了物美价廉的好商品，质量杠杠的。物流给力，商家服务周到，售后有求必应。,2025年5月10日
我对这次购物体验赞不绝口！产品质量上乘，卖家服务周到细致，发货迅速高效，强烈推荐给大家。,2024年12月9日
在我能接受的价格之内，多家比较，最后决定买的这款，做活动的时候买的，还不错，姊妹三人一人一个，希望家人都平平安安的，很喜欢，做工也还可以，基本无瑕疵,2024年6月5日
不错希望好运，温润如玉,2025年3月20日
东西不错，比预想的好多了,2024年10月9日
有瑕疵，且换货极其慢  快递签收4天了不缺人收货,2024年5月19日
佩戴体验：一般不好，体验感不好 ,2025年3月7日
这个玉实在是太漂亮了吧！！,2024年11月13日
还不错哦，就是当时买的预售，等了几天，实物没有失望，所见即所得！,2024年4月26日
男生带也很合适，客服苏东坡服务态度很好！,2025年8月25日
和田玉平安扣收到，很不错的，性价比高，3cm大的扣男戴个人感觉很合适（因为同时也买了翡翠中扣2.8cm对比，3cm扣无论单配绳戴或配翡翠链都不小），把原带的绳子取了，在网上又买了1.5mm粗的红绳子换上，戴上感觉轻便好看对皮肤舒服，又一次满意的购物，好评,2025年5月6日
很好看，闺蜜很喜欢💕,2025年6月14日
挺好的,2025年8月1日
不知道真假，还没有佩戴,2024年5月28日
整体评价：很好 产品质量：好 ,2024年11月7日
包装很好，大小很合适，小朋友带上很可爱，物美价廉，喜欢,2025年5月7日
给宝宝戴的，很秀气很漂亮,2025年5月22日
好,2025年4月28日
项链很好看，玉石质感很好，小七客服态度很好,2025年9月18日
很漂亮的平安扣 宝宝特别喜欢,2025年6月21日
好看，家人看到都说好！留言客服帮忙挺了个好看的，下次有好货再来买,2025年4月7日
送给妈**，妈妈很喜欢 ,2024年5月16日
很漂亮，很喜欢。,2024年11月7日
物流很快 很精致 戴上非常喜欢 性价比高 不愧是大牌子 推荐购买！！！,2024年9月29日
价格美丽,2025年7月29日
虽然对玉石不太了解，但平安扣看着质地非常圆润，颜色透亮、有权威鉴定证书，运动绳搭配显得更加合适百搭，绳子长度可调节。,2024年11月8日
该用户未填写评价内容,2024年8月18日
对象很喜欢,2025年3月26日
该用户觉得商品非常好，给出5星好评,2024年11月5日
整体评价：很不错，是我喜欢的颜色，绿油油的，和我之前买的如意的玉髓差不多的大小 佩戴体验：很好看，大小合适 产品性价比：很高，很不错的 ,2024年10月24日
整体评价：好  佩戴体验：绳子有点松，玉不错 产品质量：好 ,2024年9月5日
玉坠温润如玉，色泽自然，每一块都仿佛蕴含 着大自然的灵气。佩戴起来既显气质又显品味，真 是让人爱不释手。无论是自用还是送礼，都是极佳 的选择!,2025年5月9日
该用户未填写评价内容,2024年10月16日
商家的服务态度非常好，‌耐心解答了我所有的问题，‌产品也没有瑕疵。‌十分满意！‌,2024年8月16日
玉坠收到了，物流很快，外观漂亮，戴起来很好看，性价比很高，好评,2024年11月9日
手感好，摸着很舒服。,2026年3月4日
很好看 挺大的 买来送人特别合适很高大上,2024年4月21日
非常好看,2025年6月17日
感觉不是特别大   不过摸着不错  质地可以   我也不太懂玉   送对象的   挺好的,2024年11月13日
实物和图片一样好看，油润细腻。客服都很耐心，很负责，处理问题及时。物流也快。,2025年7月5日
前三张是周六福的，玉有很明显很长的裂痕，本来是想换货的，结果从下午跟客服申请换货到晚上一直都没处理，本来就等着送人的，时间安排的好好的，给我发了个破玉！真不知道是故意还是没有质检！看哪个大冤种拿到不会发现是吧，就这样对待自己的顾客！果断换了周大生，后面两张图片是周大生，差不多的价格，各个方面都比周六福的好！也没有换货！正好卡在朋友生日这天送给他。,2025年9月7日
产品质量：非常好 质感很好，不廉价 外观设计：非常好 ,2024年8月13日
玉很好看，不大不小的非常合适，摸起来手感很好，女友收到嘴巴都笑歪了,2024年11月3日
有个很大的黑点，商家说这是正常现象，图片仅供参考，谨慎购买,2025年6月6日
该用户觉得商品非常好，给出5星好评,2025年3月31日
和田玉，玉质很圆润，手感很好，父亲节买来送给爸爸和公公，祝愿他们平安健康～,2025年6月13日
商品可以是正品,2025年7月8日
有明显瑕疵,2025年3月2日
送给自己的一个小礼物，发货速度很快，实物也很貌美，喜欢喜欢,2025年7月11日
还阔以吧，给孩子买来戴的，见到别的小朋友有也想要一个，赶上活动很划算。摸着冰冰凉凉的，很很有质感，孩子很喜欢戴。,2024年10月5日
手感好，摸着很舒服。,2026年2月6日
发过来没有珠子做堵头，一拉绳断掉了，问客服客服说配绳略有差异……,2025年3月2日
收到货了挺好的，蛮喜欢的，玉石也配有证书，整体很通透，也很精致，适合女生带好评了！ ,2024年5月23日
挺好的,2025年7月24日
宝贝不错，母亲节礼物，妈妈很喜欢,2025年5月11日
还行吧，就是没有别人发的照片那么好看，颜色偏黄，结构肉眼可见,2025年9月21日
该用户未填写评价内容,2024年8月27日
佩戴体验：舒适 产品质量：所见如所得 外观设计：高端大气 ,2024年8月4日
做工很细致，戴上显档次。,2026年1月23日
润润的，光下有点发绿，买了两个，一个扁扁的大大的，一个小一点但是胖嘟嘟的，感觉还不错,2024年5月11日
佩戴体验：1 ,2024年11月10日
超级好看超级好看超级好看超级喜欢啊啊啊,2025年6月3日
给孩子买的平安扣。首先和田玉的质感很好。用手电筒打有明显的玉石结构。并且包装也很上档次。其次瑶客服服务态度很好。会推荐给别人的,2025年6月3日
收到了 很满意 超级漂亮！！,2025年5月16日
平安扣收到了，小巧玲珑，质感很好，配送也很及时。,2025年7月1日
非常不错的，摸着很有质感,2024年11月2日
平安扣很好看 和图片一样,2024年9月28日
挺好看的,2025年9月9日
佩戴体验好产品，性价比高，快递非常快,2024年4月17日
红盒子很有质感，瞬间提升气质。性价比超高，佩戴非常舒适～,2025年6月30日
黑绳很有质感，实物到手真的很好看，做工仔细，细节精致，发货也快,2024年7月24日
超级满意，这个大小刚刚好，可以日常带，也可以配衣服带,2025年6月28日
💛看起来还不错，包装的很仔细，价格也非常公道，还会继续买买买！✌,2025年5月10日
该用户未填写评价内容,2024年6月12日
产品质量：有瑕疵 ,2025年2月14日
实物很精致，和图片一致，性价比高，佩戴起来很漂亮，整体很满意,2024年11月3日
这个平安扣是我对比了几家之后最终的选择    很温润   周大生的品质可以哦,2025年3月27日
戴起来很好看，够大，而且质地均匀没有裂痕,2025年7月13日
整体评价：还不错 给男朋友买的 大版带着才好看一些 摸上去很舒服 看起来也可以的 挺精致 希望他平安 ,2024年11月8日
物美价廉，质量过硬。,2024年11月13日
不懂玉，看着还挺不错的，没有很明显的缺损，只有一点点小小的瑕疵，图片也看不出来，这个价位也不贵，应该不是很好的玉吧？？冲着品牌买的，有证书这些，比较保险，好歹也算是用上真玉了，女生戴小的就挺合适的，活动价很划算。,2025年5月21日
给妈妈买的，很喜欢,2025年3月2日
很好看实物朋友也很喜欢 具有平安的意思 保佑一切顺利平平安安,2025年2月26日
在周大生官方旗舰店购买的这款平安坠，从包装到产品本身，无不透露着精致与高雅。坠子的设计简约而不失华美，每一个细节都处理得恰到好处，既时尚又富有深意，完美诠释了对平安的美好祈愿。佩戴起来舒适贴肤，无论是自用还是赠予亲友，都是传递祝福的上佳之选。客服的耐心解答与周到服务，更是让人购物体验满分。真心推荐给每一位追求品质与寓意并重的朋友们，值得拥有！,2024年5月28日
和田玉吊坠 戴着很好 大小刚刚好 喜欢 ,2024年6月25日
挺好看的，配短袖穿特别好看，包装也很细致。,2024年11月4日
佩戴体验：很好看 ,2024年11月13日
整体佩戴感很好，颜色透亮、佩戴舒适宜人，有权威证书，运动绳搭配显得更加合适百搭，绳子长度可调节。,2024年9月18日
很好看,2025年8月26日
看上去真的挺不错！开始还纠结型号，买回来才安心～大号的挺合适男士～,2025年6月22日
挺好的，拿来送人的，很合适，正品,2025年7月12日
很好看 而且比想像中的大很多 挺值的 想买的可以入手哦 ,2024年9月25日
好看,2025年5月7日
整体评价：不错喜欢小巧精致 佩戴体验：舒适大气 产品性价比：高值得购买 产品质量：好 外观设计：可爱 ,2024年10月25日
佩戴起来美观大方，玉佩很光滑圆润，颜色白色，非常完整包装完好物流很快，沈梦溪客服很有耐心，产品也是很不错，nice,2024年12月11日
玉上有黑点,2025年6月10日
质地很好，绳子可以调节很方便。 物流特别快，用的顺丰，很专业很安全。,2025年6月2日
非常满意的一次购物，产品外观和质量都很棒，物流速度快，商家服务专业。这个是真的好，材料和做工都特别精致，做工真的非常棒，我觉着我可以推荐给我朋友买,2025年6月9日
玉很好看，很喜欢，很推荐购买。,2025年7月10日
这款和田玉无论是从外观、佩戴体验还是价值方面来看，都让我非常满意。它不仅是一件精美的饰品，更是一份珍贵的文化遗产。我非常推荐喜欢和田玉的朋友购买，相信它会给你带来美好的佩戴体验和文化享受。,2025年5月3日
吊坠挺好看的。就是价格不稳定，买完就降了七八十……,2024年5月21日
该用户觉得商品非常好，给出5星好评,2024年10月17日
平安扣收到了，送给闺蜜的，她很喜欢，玉质清透，好看，有档次的礼物🎁,2024年11月15日
该用户觉得商品非常好，给出5星好评,2025年6月5日
款式很好看，玉石看起来也比较有质感。包装很完美。客服服务态度很好！发的邮政快递。,2024年11月1日
品质很好，戴上很搭配，很喜欢，有需要还会回购,2025年6月30日
整体评价：五星 佩戴体验：很好 产品性价比：超级直 产品质量：比预期的好多了 外观设计：好！ ,2024年11月1日
玉很漂亮，拿在手上很清凉，样子好看，以为小板会很小，没有想到还挺适合的 好评好评,2024年8月21日
挺好看的,2025年7月2日
该用户觉得商品非常好，给出5星好评,2026年3月19日
很漂亮，摸着凉凉的，送人的礼物，感觉很不错，自己也想买一个了,2024年9月30日
玉质温润，孩子戴着很好，本来配了一根绿色的编织绳，很好看的。孩子喜欢红色就换了，这个价格真是很值！,2025年6月4日
对比了三个感觉这个还不错好搭配，棒👍🏻,2025年7月16日
平安扣怪piu亮的，绑绳也很好看～,2025年6月15日
该用户未填写评价内容,2025年4月16日
元歌客服很有耐心，产品也是很不错，喜欢喜欢,2025年4月16日
很好看，很喜欢，送礼很棒。,2024年4月17日
还不错，但是注意尺寸，拿到手看起来不大,2025年6月18日
该用户未填写评价内容,2025年3月6日
闺女带着正好，非常漂亮，客服服务也很好,2024年6月1日
该用户未填写评价内容,2025年2月16日
不错很好 很喜欢！💕,2024年10月4日
还是挺不错的很喜欢，推荐大家购买🌹🌹🌹🌹🌹🌹🌹🌹🌹,2025年1月9日
一般般吧！,2024年11月6日
该用户觉得商品非常好，给出5星好评,2025年6月20日
产品性价比：收到货当天价格直接下降40元，联系客服说让我自己想办法解决，不给补差价，差劲，不要买,2025年10月9日
送给朋友当生日礼物的，她很喜欢！这款平安扣玉石端庄大气，送人自带都挺好看的,2024年10月26日
挂坠还阔以，客服服务态度不错 赞,2024年10月24日
客服真的很好很细心,2025年8月1日
老婆很喜欢,2025年3月23日
收到货了 跟图片一样 还不错 佩戴也好看的 主要很划算 ,2024年11月13日
好产品、好品质、好服务，宝贝确实值这个价钱，在这给商家点个赞不得不赞，质量真的好，包装物流也不错。真心喜欢，入手后不会让你后悔的！,2024年9月24日
不错不错  带着挺合适的,2024年10月22日
整体评价：挺不错的 ,2024年5月27日
挺好的,2024年5月11日
绳子大了,2024年10月31日
很透亮 看着很舒服,2025年7月13日
还不错吧,2024年10月30日
男朋友很喜欢，玉质感很好，挺润的，挺大气的,2024年11月11日
大小合适，调节的部位是绳尾朝同一方向抽的，调短的时候脖子后面会坠着两个尾巴。,2024年12月19日
买回来就直接给妈妈带上了 妈妈很喜欢,2025年5月12日
趁着优惠，赶紧入手，应该是正品，包装也非常的好，没有破损，,2024年6月23日
这玉特别差,2025年5月1日
物流很快，包装严实，触感光滑润泽。,2024年10月10日
这个拿到手就感觉很不错，很圆润也够厚实。小款的很适合女生，不会显得小气。跟之前在别家买的完全不一样,2024年8月28日
该用户未填写评价内容,2024年11月27日
很喜欢的 产品质量：蛮好的，戴着没有负重感，没有过敏原，大小合适，可以的 ,2025年2月7日
整体评价：周大生值得信赖，平安扣感觉不错！ 外观设计：外观带着很好看！ ,2024年11月7日
不错，戴上好高大上👍,2024年8月16日
货收到完好无损，实物很漂亮，佩戴舒适，值得购买！发货快，卖家服务态度很好，点赞！,2024年4月20日
一眼看中了这个，买的是小款，很适合女生戴了，挺好看的，物美价廉值得购买哦,2024年10月9日
这个挺满意的，买给儿子的礼物，回来就戴上了，儿子非常喜欢,2025年4月11日
正品完美！值得购买！,2025年2月14日
垃圾东西，到了的时候打开的时候绳子调整长度一拉就脱掉了，已经弄好以后才戴了半天，结果系吊坠的绳子直接脱开，吊坠都找不到了,2025年1月21日
小小一个挺好看的，自然光下是偏白色，不会很绿，配绳是黑色的，满意,2025年2月20日
很好,2024年12月21日
挺好的，品相不知道，但是自己喜欢就好！,2025年2月11日
项链收到啦  送给妈**母亲节礼物  妈妈很喜欢 玉的颜色也好看,2025年5月9日
送给哥哥当生日礼物的，刚好在生日的这天到 不过感觉这个更适合女生带 拿着看的时候感觉有点小气。我也不太懂这些 不过就感觉玉小轻薄 绳子很没有质感轻飘飘的 总体感觉很一般 不过已经买了也没法 将就吧,2025年3月7日
佩戴体验：挺好的，非常温润 ,2024年11月30日
澜客服回复很细致，有耐心。物流次日达，收货还是很快的。送给老爸选大一点的，戴着感觉刚好合适。,2025年4月29日
整体评价：很好看 佩戴体验：戴上很合适，大小刚好 产品性价比：性价比很高，东西好看又不贵，用来送人 产品质量：带子很结实 外观设计：好看 ,2024年11月7日
非常漂亮,2024年9月30日
佩戴体验：很好看 很好看 很亮很透 外观设计：很漂亮值得去购买姐妹们 ,2024年8月27日
一直以来都想买一个平安扣用来保平安 这家是老牌子了 买得放心 玉很透 建议购买,2024年11月1日
东西已经收到了，玉石很饱满，色泽很圆润，很高大上。,2024年9月9日
手感好，摸着很舒服。,2026年4月4日
很好，真玉 冰清玉洁,2025年6月6日
整体评价：东西很不错，小孩喜欢； 佩戴体验：佩戴上很好看； 产品性价比：这个价格便宜东西也不错； 外观设计：好看 ,2024年5月2日
玉收到了，比想象中的好，佩戴很上档次，喜欢的赶紧入手,2025年10月8日
整体评价：好看 ,2024年11月7日
好评,2024年10月15日
整体评价：很好 佩戴体验：还没带 产品性价比：比别家的好 有润感，棉多，看起来还是挺好的 ,2025年4月2日
玉佩还可以 ，就是有点薄 ,2025年8月23日
细节非常完美，整体来说真的很不错。性价比很高，下次还会继续光顾！,2024年11月9日
很好看,2024年6月30日
青白色，不够白。不过质地均匀,2025年5月12日
整体评价：挺好的 产品性价比：高 ,2024年5月10日
玉质很细腻，摸起来特别顺滑。,2026年2月7日
发货很快，售后处理快,2025年5月10日
产品很好，外观好看，推荐购买,2024年11月24日
严重色差，买的白色的，发的青色的。,2025年4月7日
摸着挺凉的。虞姬,2024年4月21日
收到第一时间打开看了，超级满意，白色很润很透，买了个大的，可以一直佩戴了。就是送刚出生的宝宝如果是红绳就更好了，必须给个好评,2024年11月5日
好产品、好品质、好服务，宝贝确实值这个价钱，在这给商家点个赞👍,2024年10月28日
产品不错，售后服务很好，感谢赵飞燕小姐姐耐心解答,2024年4月25日
第一次买周大生的饰品，玉石质感挺好的，温润的触感，老公带着挺好看的，好评～,2024年10月26日
戴上很显气质，朋友都夸好看。,2026年3月27日
这次购物体验蛮好的。商品的功能表现符合预期，配货速度超快，服务质量更是绝佳，耐心周到，让人感到愉悦。,2025年6月9日
很喜欢😘,2025年3月27日
整体评价：感觉宝贝不错 产品性价比：感觉性价比很高，值得推荐 产品质量：很棒 外观设计：设计很好 ,2024年11月16日
穿戴品图个感觉,2024年6月24日
跟图片上完全不一样 这颜色材质和做工晚上就是挂羊头卖狗肉 还大品牌呢这不就是割韭菜吗 我拍的款是什么样的？到货又是什么样子的？颜色、光泽、质感完全就是两个东西 典型的挂羊头卖狗肉 怎么？谁不知道玉石存在天然差异不可能一模一样 但是也得有分类吧 各种水种分类那么详细你们商家不知道？就这种垃圾成色拿来跟你们宣传图上的比？还颜色不一样是正常的 我真笑了 本来看大品牌以为应该不会踩坑结果还是一样 就这价格我也懒得退了大家谨慎选择吧,2025年8月22日
外观挺好看的，价格还可以,2024年11月18日
是好看的，很喜欢，戴起来很漂亮，刚开始贴肤有点冰冰凉～,2024年11月7日
母亲节送妈**礼物，不错,2025年5月13日
和田玉平安扣外型饱满圆润，质量很好，手感温润，大小合适，性价比高。,2024年5月2日
大气，好评,2024年4月30日
挺好的，发货也快，还有礼盒，送人也可以。,2024年10月18日
真的超好看，质感也很好，很好搭配，性价比也很高，推荐推荐啦,2024年5月28日
很漂亮，颜色偏青色，手感很舒服，,2024年10月28日
很好看,2025年4月19日
金色地方有点磨，其他可以,2024年10月20日
偏绿，没图片上的白，其他还好,2025年1月29日
玉，石之美者。自古以来，玉就以其温润的质地、晶莹的光泽、绚丽的色彩、坚韧的质地和柔和的触感，赢得了“东方宝石”的美誉。这块和田玉让我沉醉在它的世界中无法自拔。,2024年10月21日
超级好看 很透亮 戴起来真的非常美 很喜欢 非常推荐大家入手，,2025年6月17日
该用户未填写评价内容,2025年4月2日
非常好，非常喜欢，送货速度也非常快,2024年9月22日
